nom;type
 Toiture terrasse;Paroi
Toiture terrasse,Parois enterrées;Paroi
 Partie courante;Paroi
Toiture en pente, Toiture terrasse, Parois enterrées, Planchers intermédiaires, Mur façade, Sol, Balcons et coursives, Gradins, Cloisons, Partie courante, Relevés, Pont, Parkings, Routes, Cuvelage, Soubassement;Paroi
Toiture terrasse, Planchers intermédiaires, Balcons et coursives, Bandeau, Gradins;Paroi
 Toiture terrasse, Planchers intermédiaires, Balcons et coursives, Gradins, Partie courante;Paroi
Toiture terrasse, Relevés;Paroi
Relevés;Paroi
Fixé mécaniquement;Mode de pose
Manuel;Mode de pose
Soudable;Mode de pose
Autre bitume;Matériaux
Acier galvanisé;Matériaux
Bitume élastomère SBS;Matériaux
"Bitume élastomère SBS
Certifications et labels";Matériaux
Bitume polymère;Matériaux
Mélange semi-cimentaire de fibres minérales et de liants;Matériaux
PEHD;Matériaux
 Polypropylène;Matériaux
Polyuréthane (PU);Matériaux
Résine bitume-polyuréthane;Matériaux
Solvants;Matériaux
Voile de verre;Matériaux
